Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1405635,Credit reporting,,Incorrect information on credit report,Account terms,MI,48051,Web,06/04/2015,06/08/2015,Equifax,In progress,Yes,
1405499,Credit reporting,,Incorrect information on credit report,Account status,CA,90066,Web,06/04/2015,06/04/2015,TransUnion,In progress,Yes,
1405498,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,AZ,85283,Web,06/04/2015,06/04/2015,Bank of America,In progress,Yes,
1405436,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,OR,97525,Referral,06/04/2015,06/08/2015,"Select Portfolio Servicing, Inc",Closed with explanation,Yes,
1405430,Credit card,,Billing disputes,,CA,92130,Phone,06/04/2015,06/04/2015,JPMorgan Chase,In progress,Yes,
1405428,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,,,32548,Referral,06/04/2015,06/08/2015,Bank of America,Closed with explanation,Yes,Yes
1405501,Credit reporting,,Incorrect information on credit report,Account status,MN,56537,Postal mail,06/04/2015,06/09/2015,Experian,Closed with non-monetary relief,Yes,
1406801,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,CA,02832,Web,06/04/2015,06/04/2015,Equifax,Closed with explanation,Yes,Yes
1405500,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,VA,20165,Web,06/04/2015,06/04/2015,SunTrust Bank,Closed with explanation,Yes,
1406787,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Referral,06/04/2015,06/04/2015,Wells Fargo,Closed with explanation,Yes,
1406782,Student loan,Non-federal student loan,Dealing with my lender or servicer,,PA,19145,Web,06/04/2015,06/04/2015,Navient,Closed with monetary relief,Yes,
1406779,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,AZ,85254,Web,06/04/2015,06/04/2015,Ocwen,Closed with explanation,Yes,
1408794,Bank account or service,Checking account,Deposits and withdrawals,,CA,91040,Web,06/04/2015,06/05/2015,Bank of America,Closed with explanation,Yes,Yes
1408797,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,WA,98001,Web,06/04/2015,06/08/2015,MOHELA,Closed,Yes,Yes
1405323,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,NY,11756,Web,06/04/2015,06/04/2015,"Bayview Loan Servicing, LLC",In progress,Yes,
1407299,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,TX,76002,Web,06/04/2015,06/05/2015,GE Capital Retail,Closed with explanation,Yes,Yes
1408853,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,PA,19126,Web,06/04/2015,06/05/2015,Equifax,In progress,Yes,
1405280,Consumer loan,Vehicle loan,Managing the loan or lease,,SC,29063,Phone,06/04/2015,06/05/2015,Wells Fargo,Closed with explanation,Yes,
1405246,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,NC,27607,Web,06/04/2015,06/04/2015,"Hunter Warfield, Inc.",In progress,Yes,
1408823,Credit reporting,,Incorrect information on credit report,Public record,NJ,07201,Web,06/04/2015,06/05/2015,Experian,In progress,Yes,
1405414,Credit card,,Credit line increase/decrease,,PA,19124,Web,06/04/2015,06/04/2015,Capital One,Closed with explanation,Yes,Yes
1408852,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,PA,19126,Web,06/04/2015,06/09/2015,TransUnion,Closed with explanation,Yes,
1408835,Consumer loan,Vehicle loan,Problems when you are unable to pay,,IN,46803,Web,06/04/2015,06/05/2015,Ally Financial Inc.,In progress,Yes,
1405261,Credit card,,Closing/Cancelling account,,NV,89117,Web,06/04/2015,06/04/2015,Wells Fargo,Closed with explanation,Yes,
1405259,Credit card,,Billing statement,,FL,33458,Web,06/04/2015,06/04/2015,Bank of America,In progress,Yes,
1408846,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CA,91766,Web,06/04/2015,06/05/2015,Ocwen,In progress,Yes,
1408942,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,CO,80134,Web,06/04/2015,06/05/2015,Citibank,In progress,Yes,
1405504,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Threatened to take legal action,SC,29679,Web,06/04/2015,06/04/2015,Wells Fargo,Closed with non-monetary relief,Yes,Yes
1405515,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,MD,20814,Web,06/04/2015,06/08/2015,Experian,Closed with non-monetary relief,Yes,Yes
1405502,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,VA,22030,Web,06/04/2015,06/04/2015,Bank of America,In progress,Yes,
1405503,Mortgage,Reverse mortgage,"Loan servicing, payments, escrow account",,MN,55104,Web,06/04/2015,06/04/2015,Wells Fargo,In progress,Yes,
1405507,Bank account or service,Other bank product/service,"Account opening, closing, or management",,TX,77065,Web,06/04/2015,06/04/2015,Citibank,Closed with explanation,Yes,
1408887,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,WA,98133,Web,06/04/2015,06/09/2015,"Northwest Trustee Services, Inc.",Closed,Yes,
1408933,Credit reporting,,Incorrect information on credit report,Account terms,CA,91604,Web,06/04/2015,06/08/2015,TransUnion,In progress,Yes,
1406636,Credit card,,Transaction issue,,TX,75023,Referral,06/04/2015,06/08/2015,Bank of America,In progress,Yes,
1406557,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,GA,30909,Web,06/04/2015,06/04/2015,Rent Recovery Solutions,Closed with explanation,Yes,Yes
1406638,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,TN,38116,Postal mail,06/04/2015,06/08/2015,Ocwen,Closed with explanation,Yes,
1406545,Credit card,,Identity theft / Fraud / Embezzlement,,NY,11756,Web,06/04/2015,06/04/2015,Barclays,Closed with non-monetary relief,Yes,
1406634,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was paid,DE,19702,Referral,06/04/2015,06/08/2015,Bank of America,In progress,Yes,
1406579,Consumer loan,Vehicle loan,Managing the loan or lease,,WA,98112,Phone,06/04/2015,06/08/2015,Santander Consumer USA,Closed with explanation,Yes,
1406570,Consumer loan,Vehicle loan,Problems when you are unable to pay,,PR,00926,Web,06/04/2015,06/04/2015,Banco Popular de Puerto Rico,Closed with explanation,Yes,
1406616,Bank account or service,Checking account,"Account opening, closing, or management",,NC,28352,Web,06/04/2015,06/04/2015,BB&T Financial,Closed with explanation,Yes,Yes
1409191,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,ME,04473,Web,06/04/2015,06/08/2015,Equifax,In progress,Yes,
1406135,Debt collection,,Communication tactics,Frequent or repeated calls,CA,92123,Web,06/04/2015,06/04/2015,Encore Capital Group,Closed with explanation,Yes,
1406442,Bank account or service,Other bank product/service,"Account opening, closing, or management",,NY,10119,Web,06/04/2015,06/04/2015,Citibank,Closed with explanation,Yes,
1406462,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,LA,70184,Web,06/04/2015,06/09/2015,"Receivable Recovery Services, LLC",In progress,Yes,
1405530,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,FL,32254,Web,06/04/2015,06/04/2015,Bank of America,Closed with explanation,Yes,Yes
1406468,Credit reporting,,Incorrect information on credit report,Information is not mine,NC,28278,Web,06/04/2015,06/04/2015,Experian,In progress,Yes,
1406474,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,PA,18940,Web,06/04/2015,06/04/2015,Citibank,In progress,Yes,
1406372,Bank account or service,Savings account,"Account opening, closing, or management",,TN,37664,Phone,06/04/2015,06/04/2015,Wells Fargo,Closed with explanation,Yes,
1406430,Credit reporting,,Incorrect information on credit report,Account status,TX,76067,Postal mail,06/04/2015,06/16/2015,Equifax,Closed with explanation,Yes,
1406415,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CA,91711,Referral,06/04/2015,06/04/2015,"Bayview Loan Servicing, LLC",In progress,Yes,
1406401,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,KS,66223,Web,06/04/2015,06/04/2015,Citibank,Closed with explanation,Yes,
1406387,Bank account or service,Checking account,"Account opening, closing, or management",,MD,21701,Web,06/04/2015,06/04/2015,Citibank,Closed with explanation,Yes,
1406367,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,Talked to a third party about my debt,TX,78758,Web,06/04/2015,06/08/2015,"Seattle Service Bureau, Inc",Closed with explanation,Yes,
1406366,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,TX,78758,Web,06/04/2015,06/08/2015,Equifax,In progress,Yes,
1405528,Debt collection,Credit card,False statements or representation,Indicated committed crime not paying,NJ,07921,Web,06/04/2015,06/04/2015,Capital One,Closed with explanation,Yes,
1405564,Credit reporting,,Credit reporting company's investigation,Investigation took too long,WV,26330,Web,06/04/2015,06/08/2015,Experian,Closed with explanation,Yes,
1406400,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,KS,66223,Web,06/04/2015,06/04/2015,Encore Capital Group,Closed with explanation,Yes,
